;RANGE0;RANGE1;RANGE2;RANGE3;RANGE4;RANGE5;RANGE6;RANGE7;RANGE8;RANGE9;RANGE10;RANGE11;RANGE12;RANGE13;RANGE14;RANGE15;RANGE16;RANGE17;RANGE18;RANGE19;RANGE20;RANGE21;RANGE22;RANGE23;RANGE24;RANGE25;RANGE26;RANGE27;RANGE28;RANGE29;RANGE30;RANGE31;RANGE32;RANGE33;RANGE34;RANGE35;RANGE36;RANGE37;RANGE38;RANGE39;RANGE40;RANGE41;RANGE42;RANGE43;RANGE44;RANGE45;RANGE46;RANGE47;RANGE48;RANGE49;RANGE50;RANGE51;RANGE52;RANGE53;RANGE54
Ken Coar;-0.99875164;-0.99875164;-0.99875164;-0.99875164;-0.99875164;-0.99875164;-0.99875164;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;
Jean T. Anderson;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;
Daniel John Debrunner;-1.0005038;-0.99875164;-0.99524724;-0.99174285;-0.98648626;-0.98473406;-0.98473406;-0.98473406;-0.98648626;-0.98823845;-0.98823845;-0.98999065;-0.98999065;-0.98999065;-0.98999065;-0.99174285;-0.99174285;-0.99349505;-0.99699944;-0.99699944;-0.99875164;-0.99875164;-0.99875164;-0.99875164;-0.99875164;-0.99875164;-1.0005038;-0.99699944;-0.99524724;-0.99524724;-0.99524724;-0.99524724;-0.99699944;-0.99875164;-0.99875164;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;
Samuel Andrew McIntyre;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;
Katherine Marsden;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-0.99875164;-0.99875164;-0.99875164;-0.99875164;-0.99875164;-0.99875164;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-0.99699944;-0.99875164;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-0.99875164;-0.99875164;-0.99699944;-0.99699944;-0.99524724;-0.99524724;-0.99524724;-0.99524724;-0.99699944;-0.99875164;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;
Mike Matrigali;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;
Satheesh E. Bandaram;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-0.99875164;-0.99875164;-0.99875164;-0.99875164;-0.99875164;-0.99699944;-0.99875164;-0.99875164;-0.99875164;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;
Jeremy Boynes;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;
Noel J. Bergman;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;
Tomohito Nakayama;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-0.99875164;-0.99875164;-0.99875164;-0.99875164;-0.99875164;-0.99875164;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;
